,name,founded_date,employee_count,description,location,categories,funding_data,investor_data
0,Happay,"July 4, 2012",11 - 50,"HapPay is an online business expense management solution that streamlines user expense workflows from end-to-end and offers real-time visibility and control over business spends. Businesses can provide their employees with HapPay prepaid VISA cards and let them spend freely while tracking and approving their expenses within set limits through its dashboard. Employees can also snap photos of receipts, record cash expenses, and submit expense reports. Launched by Anshul Rai and Varun Rathi in 2012, HapPay was founded in Whitefield, Karnataka. HapPay operates as a B2B company.
","Whitefield, Karnataka","SaaS, Financial Services, Software, FinTech","[['Apr, 2015', '$500k / Seed', '—', '—', '0'], ['Jul, 2013', '$20k / Seed', '—', '—', '1']]","[['TLabs', 'Seed', '-']]"
0,Ideal Analytics,2010,11 - 50,"Ideal Analytics is an Indo-French Technology Joint Venture Company that has its Corporate HQ and Office in Kolkata, India and the European Office in Paris, France. It has other offices spread over the globe. Its close partners are spread in APAC countries and in USA and other cities of India.
Formed and incorporated by a group of technology professionals for associated and working together for a very long period in time gaining essential business vertical knowledge, technology horizontal and management skills in many user industries. The company is poised to bring the best of the market solution to Business Intelligence and Data Analytics in the present juncture.
",Paris,"SaaS, Analytics, Software",,
0,Ideapoke,2012,11 - 50,"Ideapoke helps organizations to search and collaborate with technology partners across the globe to solve their technical R&D and product development challenges. Ideapoke's proprietary technology uses big data analytics and matching algorithm to find the best possible solution provider. Ideapoke platform allows organizations to utilize the power of diverse knowledge outside of organizational silos and initiate collaboration to solve important business challenges.
","Bangalore, Karnataka","Crowdsourcing, Collaboration, Software",,
0,igrenEnergi,2013,11 - 50,"igrenEnergi profiled in Economic Times - igrenEnergi's 'packetization technology' boosts solar production. Read More
close
igrenEnergi, Inc. is a US HQ company with its India offices in Mumbai and Bangalore . The company’s mission is to ‘Maximize economic benefits of solar energy using technology innovation’.
IgrenEnergi is creating disruptive products to optimize energy generation, conversion, storage as well as smart grid interactions. The patented ‘Energy Packetization Architecture’ provides the underpinning technology for dramatically improved performance per unit cost.
","Bangalore, Karnataka","Energy Storage, Energy Management, Solar","[['Feb, 2016', 'undisclosed amount / Venture', '—', '—', '0']]",
0,Indix,"December 1, 2010",11 - 50,"Indix is building the world’s first Product Information Marketplace. Through a combination of the web and partners, we collect offers data such as price, availability, and seller information in addition to catalog data like code-based identifiers and attributes to create the single largest source of structured product information. 
Using data science and machine learning, we cleanse, structure, and refine the data, and then make it available through Indix Data-as-a-Service. By connecting to the Indix Product API and Product Feeds, businesses and developers harness the power of product information to make better decisions, drive innovation, and create new models of commerce. 
With more than 35 billion product offers from 1,000+ sites and 50,000+ brands, only Indix has the scale and quality of product information needed to power the next generation of commerce.
www.indix.com
","Seattle, Washington","Search Engine, E-Commerce, Data Visualization, Retail Technology, Analytics, Retail, Software, Big Data, Product Search","[['Jun, 2015', '$15M / Series B', '—', 'Nexus Venture Partners', '4'], ['Mar, 2014', '$8.5M / Series A', '—', 'Avalon VenturesNexus Venture Partners', '2'], ['Apr, 2013', '$5.99M / Series A', '—', '—', '3'], ['Apr, 2012', '$1.15M / Debt Financing', '—', '—', '0'], ['Oct, 2011', '$250k / Debt Financing', '—', '—', '0']]","[['Anthemis Group', 'Series A', '-', 'Series B', '-'], ['Avalon Ventures', 'Series A', '-', 'Series A\xa0(Lead)', '-', 'Series B', '-'], ['Nexus Venture Partners', 'Series A', 'Sameer Brij Verma', 'Series A\xa0(Lead)', 'Sameer Brij Verma', 'Series B\xa0(Lead)', 'Sameer Brij Verma'], ['Nokia Growth Partners (NGP)', 'Series B', 'Upal Basu']]"
0,Indusface,"February 1, 2004",11 - 50,"Indusface is a privately-held, award winning, innovative, visionary, fast growing information security company, trusted by fortune 500 organizations across the globe. Indusface helps safeguard web and mobile applications using its flagship product IndusGuard, giving customers the distinctive edge of having total application security.
The application level is extremely susceptible to attacks. It is frequently exploited by hackers who exploit system, application and business logic vulnerabilities to compromise web and mobile applications, exposing them to online threats and at times implanting malware.
IndusGuard by Indusface helps organizations secure their web and mobile applications with its comprehensive, cloud based, dynamic application security penetration testing solution. It provides a unique hybrid approach to web and mobile application scanning by giving enterprises vital security intelligence using a powerful combination of automated and manual testing for vulnerabilities.
IndusGuard’s broad and deep security checks includes daily and on demand scanning for system and application vulnerabilities, malware monitoring and detection, defacement and blacklisting detection, anti malvertising, business logic testing, revalidation using human intelligence, zero false positives, proof of exploitations support, adherence to globally accepted best practices and standards from OWASP, OSSTM, SANS and WASC.
With IndusGuard, Indusface helps organizations to improve and strengthen their security posture thereby achieving strategic information security objectives. Indusface’s powerful solution for total application security helps organizations to focus more on business continuity, enable brand protection, strengthen customer relationships, increase productivity and profits. IndusGuard empowers security teams to keep threats at bay, manage risk, and maintain compliance and regulations.
Indusface caters to more than 500 satisfied customers worldwide, which includes Fortune 500 organizations belonging to various industry verticals and enjoys global security partnerships.
Indusface is a Deloitte Technology Fast 50 India and 500 Asia, NASSCOM Emerge 50, ChannelWorld Premier 100 and Red Herring Top 100 Asia award winning organization.
","Mumbai, Maharashtra","Cyber Security, Security",,
0,InnovAccer,"July 1, 2014",11 - 50,"Innovaccer is one the fastest growing and disruptive healthcare Big Data startup in Silicon Valley. With it's Big Data platform 'Datashop', Innovaccer is helping large healthcare organizations like Catholic Health Initiatives, Mercy, Trinity, Catalyst, Sonic etc. to adopt data driven healthcare operations and transform into the value based care world.
","Berkeley, California","Machine Learning, Analytics, Big Data","[['Jul, 2016', '$15.6M / Series A', '—', 'WestBridge Capital', '3'], ['May, 2015', '$2.5M / Seed', '—', '—', '6']]","[['500 Startups', 'Seed', '-'], ['Arihant Patni', 'Seed', '-'], ['Krishna Mehra', 'Seed', '-'], ['Lightspeed Venture Partners India', 'Series A', '-'], ['Pankaj Jain', 'Seed', '-'], ['Phanindra Sama', 'Seed', '-'], ['Pravega Ventures', 'Series A', '-'], ['Rajan Anandan', 'Seed', '-'], ['WestBridge Capital', 'Series A\xa0(Lead)', 'Sumir Chadha']]"
0,i-exceed,Unknown,11 - 50,"i-exceed is a technology products and services company. We currently operate across two major business lines, viz. products (Appzillon) and services (BFSI consulting services, Mobile Consulting Services Performance Management and Oil & Gas Technology Services)
",Bangalore,"Software, Information Technology",,
0,Lucep,"January 15, 2014",11 - 50,"Lucep is a mobile application that offers lead capture services to its users.
The application features group history feeds, app UI/UX design, user activity feeds, team leaderboards, generated lead profiles, and user infographic stats. Furthermore, it offers lead notifications, analytics, AI, lead allocation, weekly sales reporting, and CRM integration.
Lucep was launched in 2014 by Kaiesh and Kameel Vohra and is based in Central Region, Singapore.
","Singapore, Central Region",Software,,
0,NextGen,2009,11 - 50,"NextGen, previously incubated at NSRCEL, IIM-Bangalore and TBI, BITS-Pilani is one of India's fastest growing cleantech companies. NextGen operates in 6 countries with Fortune 500 clients across 16 different sectors. NextGen's passionate team from the best universities across the globe delivers innovative and best in class solutions across sectors and geographies. The genesis of NextGen was from a research paper developed at BITS-Pilani when the Founders were students then. NextGen evolved into two broad domains of Sustainability Management and Waste to Energy.
",Bangalore,"CleanTech, Consulting, Enterprise Software","[['Feb, 2015', 'undisclosed amount / Angel', '—', '—', '1']]","[['Mumbai Angels', 'Angel', '-']]"
0,NowFloats,2012Aliases:Nowfloats Technologies Pvt. Ltd,11 - 50,"NowFloats enables Small and Medium Businesses (SME) to get an online presence by simply using SMS. This website can also be updated by sending regular SMS and this message can be delivered to the loyal customers of that business. Additionally the NowFloats algorithm ensures highest discoverability through intelligent Search Engine Optimization (SEO).
There are 47M Small & Medium Businesses in India, while there are only 700K registered websites. It is also estimated that almost 9.6M Indian businesses need some sort of online identity. With 900M+ mobile phones and SMS being the pervasive technology, NowFloats believes that getting business online thru SMS (or Apps) is a scalable and sustainable business.
NowFloats is co-founded by ex-Microsoft and ex-Saatchi & Saatchi team and has almost 2000 customers within 5 months of the product launch.
","Hyderabad, Andhra Pradesh","Real Time, Mobile Apps, Location Based Services","[['Jan, 2017', '$10M / Series B', '—', 'IIFLIron Pillar', '4'], ['Jan, 2015', 'undisclosed amount / Series A', '—', 'Omidyar Network', '4'], ['Jun, 2013', 'undisclosed amount / Angel', '—', '—', '4'], ['Jan, 2013', 'undisclosed amount / Non Equity Assistance', '—', '—', '1']]","[['Artha India Ventures', 'Angel', 'Anirudh Damani', 'Series A', 'Anirudh Damani'], ['Blume Ventures', 'Angel', '-', 'Series A', '-', 'Series B', '-'], ['Hyderabad Angels', 'Angel', '-'], ['IIFL', 'Series B\xa0(Lead)', '-'], ['Iron Pillar', 'Series B\xa0(Lead)', '-'], ['Microsoft Accelerator', 'Series A', '-'], ['Microsoft Accelerator Bangalore', 'Non Equity Assistance', '-'], ['Mumbai Angels', 'Angel', '-'], ['Omidyar Network', 'Series A\xa0(Lead)', '-', 'Series B', '-']]"
0,Qustn Technologies,"July 1, 2014",11 - 50,"Qustn is a SaaS platform that allows companies to setup & deliver any type of training to its remote user base (employees / external partners). The platform allows the companies to also track and engage its users to ensure a better outcome of the training delivered. One could potentially roll out a complete training and assessment program for 50,000 people in a span of just 30 mins, and then be able to ensure that they complete the training within a stipulated time.
","Palo Alto, CA",Training,"[['Sep, 2015', '$400k / Seed', '—', '500 StartupsSmile Group', '5']]","[['500 Startups', 'Seed\xa0(Lead)', '-'], ['Girish Mathrubootham', 'Seed', '-'], ['Kunal Bahl', 'Seed', '-'], ['Rohit Bansal', 'Seed', '-'], ['Smile Group', 'Seed\xa0(Lead)', '-']]"
0,Reverie Language Technologies,"December, 2009",11 - 50,"Reverie builds technologies that are bridging the language divide in the digital world. Content from apps and portals can be delivered in multiple languages in real-time through Reverie's Language-as-a-Service platform. 
The Reverie Language Platform delivers static and dynamic content from apps and portals in multiple languages in real-time. Language localization by Reverie is domain-savvy. This means that we know that the word ""play"" can mean different things in different localization contexts.
Reverie delivers language localization across a number of customer segments such as chipset manufacturers, mobile brands, consumer Internet, banks & financial institutions, governments, entertainment, education and more. Reverie has also extended its platform to app developers in a beta launch. This shall help promote development of multilingual applications throughout the globe.
Reverie's Language Platform is also used in user interaction technologies that includes Reverie’s multilingual keypad, Swalekh. Swalekh enables typing in 16 Indian languages in native, phonetic, and Indlish (Macaronic) modes. It is available free on Google Play.
","Bangalore, Karnataka",Internet,"[['Jun, 2016', 'undisclosed amount / Non Equity Assistance', '—', '—', '1'], ['Aug, 2015', '$4M / Series A', '—', 'Aspada', '2']]","[['Aspada', 'Series A\xa0(Lead)', '-'], ['Microsoft Accelerator Bangalore', 'Non Equity Assistance', '-'], ['Qualcomm Ventures', 'Series A', '-']]"
0,SayPay Technologies Inc.,"February 15, 2015",11 - 50,"SayPay helps financial institutions transform their fragmented authentication means into a seamless, enjoyable customer authentication experience using biometric technology. We have retooled the customer authentication process into a smooth omni-channel experience that offers ultimate security with tokenization, 3-factor authentication, and out-of-band verification.
","Pleasanton, California","Mobile Payments, Biometrics, Software","[['Jul, 2016', '€25k / Seed', '—', 'TechFounders', '1']]","[['TechFounders', 'Seed\xa0(Lead)', '-']]"
0,Senseforth Technologies Pvt Ltd,"November 13, 2012",11 - 50,"Senseforth offers Intelligent Business Bots to enterprises. Senseforth bots automate several human intensive processes. They address queries, resolve issues, perform tasks and even make product recommendations. Senseforth can dramatically reduce manpower costs and increase efficiency. Senseforth is the most comprehensive bot platforms today with the widest range of intelligent business bots in its bot store.
",,"Intelligent Systems, Machine Learning, Natural Language Processing, Artificial Intelligence, Enterprise Software",,
0,GupShup,"June 1, 2004Aliases:Webaroo",11 - 50,"Headquartered in Silicon Valley, Gupshup is one of the world’s largest Enterprise messaging platforms being used by over 30,000 businesses including leading companies such as FlipKart, OLA, Facebook, Twitter, ICICI, HDFC and ZeeTV to engage and retain consumers.  Gupshup’s platform handles over 4 billion messages per month and has delivered over 150 billion messages in total. Gupshup also developed a smart-messaging app, Teamchat, which introduced patent-pending “smart” messages in 2014, only now being offered by other messaging apps. Gupshup’s smart messaging platform also provides tools for developers to quickly and easily build, test, deploy, monitor and track bots and other smart messaging services.
","Mumbai, Maharashtra","Information Technology, Mobile, Information Services","[['Aug, 2011', '$10M / Series E', '—', 'Tenaya Capital', '4'], ['Mar, 2010', '$12M / Series D', '—', '—', '3'], ['Oct, 2008', '$11M / Series C', '—', 'CRVHelion Venture Partners', '2'], ['Dec, 2006', '$10M / Series B', '—', '—', '3'], ['Jun, 2005', '$1.13M / Series A', '—', '—', '1']]","[['Cambrian Ventures', 'Series A', '-', 'Series B', '-'], ['CRV', 'Series C\xa0(Lead)', 'Devdutt Yellurkar', 'Series D', 'Devdutt Yellurkar', 'Series E', 'Devdutt Yellurkar'], ['Globespan Capital Partners', 'Series D', '-', 'Series E', '-'], ['Helion Venture Partners', 'Series C\xa0(Lead)', 'Ashish Gupta', 'Series D', 'Ashish Gupta', 'Series E', 'Ashish Gupta'], ['HTSG', 'Series B', '-'], ['Lloyd George Management', 'Series B', '-'], ['Tenaya Capital', 'Series E\xa0(Lead)', '-']]"
0,ToneTag,2014,11 - 50,"ToneTag is an integrated library (sdk) that allows easy, frictionless, and secure proximity payments using sound (Tone) or NFC (Tag).
Depending upon user device and retail pos hardware, mobile application can toggle to initiate in-store purchases using sound or NFC.It works on any mobile device and no internet is required on user device at time of initiating payment.
","Bangalore, Karnataka",Financial Services,"[['Nov, 2016', 'undisclosed amount / Undisclosed', '—', '—', '6'], ['Aug, 2015', '$1M / Venture', '—', 'Reliance Capital', '1']]","[['Anand Chandrasekaran', 'Undisclosed', '-'], ['Arun Seth', 'Undisclosed', '-'], ['Deepak Ghaisas', 'Undisclosed', '-'], ['Kumar Abhishek', 'Undisclosed', '-'], ['Reliance Capital', 'Venture\xa0(Lead)', '-'], ['TK Kurien', 'Undisclosed', '-'], ['TV Mohandas Pai', 'Undisclosed', '-']]"
0,tydy,"December, 2012",11 - 50,"tydy is a mobile onboarding and engagement platform that captures data at the time of joining or for ongoing engagement. That platform automates the entire onboarding process and ensures a personal experience for every new hire. It was launched in 2012 and is based in Bangalore, Karnataka.
","Bangalore, Karnataka","Subscription Service, Collaboration, Employment, Recruiting, SaaS, Human Resources, Enterprise Software, Freemium","[['Mar, 2017', '$275k / Angel', '—', '—', '3'], ['Jan, 2012', '$25k / Debt Financing', '—', '—', '0']]","[['Bhupen Shah', 'Angel', '-'], ['Jayesh Parekh', 'Angel', '-'], ['Sanjay Sathe', 'Angel', '-']]"
0,Vidooly,2014Aliases:Vidooly,11 - 50,"Vidooly was launched in November 2014 by Subrat Kar, Ajay Mishra and Nishant Radia. It is an online video intelligence software product for content creators, brands, multi-channel networks, agencies & media companies. Since it's inception, over 30,000 video content creators across globe have signed-up on its platform to grow across social video such as YouTube, Facebook, Instagram & Twitter.  Vidooly's big data driven audience and video insights empower media companies & brands to refine their content, distribution & optimization strategy, find and partner with influencers, and maximize video viewership. Everyday Vidooly's big data engine analyzes the engagement of over 500 million viewers and tracks 250 million videos across 5 platforms, including YouTube, Facebook, Twitter, Vine, Instagram. Currently its video intelligence software empowers some of the big names in the industry such as Fine Brothers, TVF, OML, VideoGyan, GroupM, Mindshare, Thoughtful Media, WebTV Asia etc. Vidooly is backed by Times Internet & Bessemer Venture Partners.
","Noida, Uttar Pradesh","Analytics, Big Data","[['May, 2017', '$1.4M / Series A', '—', 'GVFL', '2'], ['Jun, 2015', '$1M / Seed', '—', '—', '1'], ['Mar, 2015', 'undisclosed amount / Seed', '—', '—', '0'], ['May, 2014', '$20k / Seed', '—', '—', '1']]","[['Bessemer Venture Partners', 'Seed', '-'], ['GVFL', 'Series A\xa0(Lead)', '-'], ['Times Internet', 'Series A', '-'], ['TLabs', 'Seed', '-']]"
0,Vymo,2013,11 - 50,"Vymo builds web and mobile applications for automating sales force activities and driving sales effectiveness. It partners with its clients to help them institute sales practices into their daily routine through simple tools. The company’s aim is to help its clients achieve an unprecedented degree of sales productivity and effectiveness, and it brings together the combined experience of its team to achieve this.
Vymo builds software for on-field teams. Its apps and web dashboards help both on-field sales and service teams to improve their productivity. Clients across the globe rely on its analytics platform to gain insights about their on-field activities and make decisions. It was founded in 2013 by Venkat Malladi and is based in Bengaluru.
","Bengaluru, Karnataka","Sales Automation, SaaS, Analytics, Apps, Mobile","[['Nov, 2016', '$5M / Series A', '—', 'Sequoia Capital', '1'], ['Dec, 2015', 'undisclosed amount / Non Equity Assistance', '—', '—', '1']]","[['Microsoft Accelerator Bangalore', 'Non Equity Assistance', '-'], ['Sequoia Capital', 'Series A\xa0(Lead)', '-']]"
0,WaveMaker,2003Aliases:ActiveGrid,11 - 50,"WaveMaker, Inc. helps enterprises meet increasing competitive business challenges by improving the internal delivery of custom apps, which are key to propel agility, empower democratized decision making and foster innovation. WaveMaker aPaaS software provides Rapid API App Development & Deployment to quickly build enterprise multi-device apps, and leverages Docker containerization for an app-optimized infrastructure.
","Mountain View, California","Web Development, Cloud Computing, PaaS, Enterprise Software, Open Source","[['Feb, 2011', '$195k / Debt Financing', '—', '—', '0'], ['Sep, 2009', '$1.23M / Venture', '—', '—', '0'], ['Apr, 2008', '$4.5M / Venture', '—', '—', '3'], ['Jul, 2005', '$10M / Venture', '—', '—', '3']]","[['Allegis Capital', 'Venture', '-'], ['HWVP, Hummer Winblad Venture Partners', 'Venture', '-', 'Venture', '-'], ['Sippl MacDonald Ventures', 'Venture', 'Roger J. Sippl'], ['Worldview Technology Partners', 'Venture', '-', 'Venture', '-']]"
0,Whatfix,"April 15, 2013",11 - 50,"Whatfix is a SaaS based Performance Support platform, that helps enterprises and businesses simplify their training and support efforts with easily accessible contextual information. Whatfix’s platform is built with real-time interactive guidance technology at its core, which helps users achieve optimal performance by providing just-in-time guidance that enables them to perform tasks quickly and efficiently.
","Sunnyvale, California","Enterprise Applications, Guides, Training, Customer Service","[['Apr, 2017', '$3.6M / Series A', '—', 'Stellaris Venture Partners', '7'], ['Apr, 2015', '$900k / Seed', '—', 'Helion Venture Partners', '3'], ['Oct, 2014', '$300k / Convertible Note', '—', '—', '1'], ['Aug, 2014', 'undisclosed amount / Seed', '—', '—', '2'], ['Oct, 2010', '$40k / Seed', '—', '—', '0']]","[['Aneesh Reddy', 'Series A', '-'], ['Girish Mathrubootham', 'Series A', '-'], ['Gokul Rajaram', 'Series A', '-'], ['GSF', 'Seed', '-', 'Seed', '-'], ['Hanwha Corporation', 'Convertible Note', '-'], ['Helion Venture Partners', 'Seed\xa0(Lead)', '-', 'Series A', '-'], ['Powerhouse Ventures', 'Seed', '-', 'Series A', '-'], ['Stellaris Venture Partners', 'Series A\xa0(Lead)', '-'], ['TA Ventures', 'Seed', '-'], ['Vispi Daver', 'Series A', '-']]"
0,Xtreme Media,"September 1, 2009",11 - 50,"Technology is changing the ways businesses are run, we at Xtreme Media provides a better alternative for businesses to communicate with its customer, employees & visitors. 
What we do exactly?
We provide highly customized digital signage and LED wall solutions. Our digital signage software  empower screens with all kind of file formats such as text messages, images, or commercial or informative videos. To entertain the viewer XM DS provide live feed & live TV option. Further solutions like wayfinding, queue management system, digital brochures are added as per customer's need.
We also provide all kind of LED walls. Bright, clear and vivid no one can miss it hence perfect way to advertise.
",Mumbai,Software,,
0,Yogurt Labs,2014,11 - 50,"Yogurt Labs is building an mobile platform powered by proprietary innovative ""Automatic Contextual Video Editing” algorithm that makes it easy for business of all sizes to create cost-effective, professional videos within few minutes with no video editing or shooting experience required.
There is huge market gap between Vine/Instagram videos and High End production, this market is continue to grow which has resulted in creating need for business-grade video maker that is easy enough for anyone to use, yet powerful enough to generate professional-looking, on-brand videos that can be easily incorporated into broader marketing strategies.
With Yogurt App even smaller companies can meet the increased demand for video by producing simple yet impactful videos to strengthen their marketing plans. Effective uses of video include company overviews, culture showcase, product demos and promotions, event highlights, customer testimonials, client Profiles and holiday greetings.
","Walnut, California","Video, Mobile","[['Mar, 2015', '$150k / Seed', '—', '—', '4']]","[['Dong Chang', 'Seed', '-'], ['Girish Venkat', 'Seed', '-'], ['Kiran Bhat', 'Seed', '-'], ['Nick Adams', 'Seed', '-']]"
0,ZingHR,Unknown,11 - 50,"ZingHR is an India-based company that offers cloud-based HR management software.
It also delivers human capital management, performance management, recruiting software, succession planning, talent management, HR outsourcing, and HR analytics applications worldwide.
Its product portfolio includes ZingHR Welcome, Zing HR Power, Zing HR Business, Zing HR Turbo, Zing HR Freedom.
",Mumbai,"Human Resources, Software","[['Jun, 2017', 'undisclosed amount / Undisclosed', '—', 'Zeta', '1'], ['Jan, 2014', 'undisclosed amount / Venture', '—', '—', '1']]","[['Microsoft Accelerator Bangalore', 'Venture', '-'], ['Zeta', 'Undisclosed\xa0(Lead)', '-']]"
